ID,Name,Category1,Category,Currency,Deadline,Goal,Launched,Pledged2,Outcome,Backers,Country,USDPledged1,Pledged,GoalReal,Duration
1003381,SoMo: The Mixtape,Pop,Music,USD,2012,10000,2012,1159,Failed,30,US,1159,1159,10000,28
1017454,The Forest or: How I Learned to Love the Pine Beetle,Film & Video,Film & Video,USD,2015,1,2015,167,Successful,9,US,167,167,1,6
1024013,A Self-Help Book for the Leaders of the Next US Revolution,Nonfiction,Publishing,USD,2012,40000,2012,9758,Failed,136,US,9758,9758,40000,45
1024208,2014 Black Star Dawn Patrol,Flight,Technology,USD,2014,1500,2014,150,Failed,5,US,150,150,1500,30
1031051,Write Your First Piece of Music In 14 Steps Video Course,Film & Video,Film & Video,USD,2017,6000,2017,50,Failed,5,US,20,50,6000,30
1033120,Fields of Fire: Miniatures rules for modern combat,Tabletop Games,Games,USD,2013,2500,2013,2575,Successful,35,US,2575,2575,2500,24
1038373,Little Drops of Heaven Bakery goes to the Farmers Market!,Food,Food,USD,2012,3300,2012,3674,Successful,73,US,3674,3674,3300,30
1041697,HOME?O Roof System: Building a Prototype Shelter,Design,Design,USD,2013,4000,2013,4630,Successful,285,US,4630,4630,4000,21
1043796,ZipDo,Web,Technology,USD,2014,35750,2014,1,Failed,1,US,1,1,35750,35
1044530,Mind of Mirrors,Comics,Comics,USD,2013,30000,2013,32050,Successful,444,US,32050,32050,30000,30
1045984,"Ninja Boy 2, Life after Death",Comic Books,Comics,USD,2017,10000,2017,15387,Successful,155,US,6790,15387,10000,30
10003650,Glyscian Debut Album Recording (Canceled),Rock,Music,USD,2012,15000,2012,151,Cancelled,4,US,151,151,15000,60
10004373,Bad Example (A Southern Trailer Park Fairy Tale) Indie Short,Shorts,Film & Video,USD,2017,1800,2017,22,Failed,2,US,7,22,1800,35
10005784,DOGMA - Short Film,Drama,Film & Video,GBP,2015,750,2015,756,Successful,15,GB,1153,1123,1114,14
10011702,Piero Marsili,Documentary,Film & Video,GBP,2016,10000,2016,0,Failed,0,GB,0,0,12967,40
10018239,Borders,Drama,Film & Video,GBP,2016,3500,2016,40,Failed,2,GB,56,56,4926,43
10024216,Rock The Audition-In Concert/Sheri Sanders,Theater,Theater,USD,2011,5000,2011,0,Failed,0,US,0,0,5000,25
10024998,Casper & The Bad Spirits LP Funding,Indie Rock,Music,USD,2014,5000,2014,5189,Successful,59,US,5189,5189,5000,33
10031522,Storm Hollow: Call to Adventure,Tabletop Games,Games,USD,2017,35000,2017,3904,Cancelled,63,US,2950,3904,35000,15
10034684,Chop Sooey Charm Pins,Art,Art,USD,2016,520,2016,583,Successful,11,US,272,583,520,31
10034874,Igneos: The Last Phoenix - Aerial Combat Adventure Game,Video Games,Games,CAD,2015,40000,2015,5840,Cancelled,173,CA,4874,4689,32113,35
10040833,Versa-Tool,Product Design,Design,USD,2013,2000,2013,4201,Successful,215,US,4201,4201,2000,35
10044110,Can't Turn Back Now,Hip-Hop,Music,USD,2015,650,2015,2,Failed,2,US,2,2,650,30
10050058,The Challis Effect: Your Heart Was Built On A Graveyard....,Rock,Music,USD,2012,3500,2012,0,Failed,0,US,0,0,3500,30
10052511,Please Donate Money For My First Music Video Shooting in September,Country & Folk,Music,USD,2010,5000,2010,0,Failed,0,US,0,0,5000,30
10064113,I AM SOUL RAP (Canceled),Hip-Hop,Music,USD,2010,5000,2010,160,Cancelled,3,US,160,160,5000,61
10064783,WarmUp: A High-Protein Coffee,Drinks,Food,USD,2016,8000,2016,8599,Successful,200,US,932,8599,8000,30
10067082,ATEMPORAL,Plays,Theater,MXN,2016,20000,2016,0,Failed,0,MX,0,0,968,30
10070457,Incpin Media,Publishing,Publishing,USD,2017,2500,2017,0,Failed,0,US,0,0,2500,30
10071048,"YELLOW, A short film",Narrative Film,Film & Video,CAD,2017,20000,2017,23400,Successful,255,CA,2123,17149,14657,30
10076573,Draka Dragon Tour! Burning Man via Austin!,Public Art,Art,USD,2012,3350,2012,2595,Failed,54,US,2595,2595,3350,15
10078468,Art for Change Exhibition: igniting empathy & resilience,Mixed Media,Art,GBP,2013,1050,2013,233,Failed,7,GB,350,354,1594,17
10079869,Bravory - Ruin (Working Title) :  Stage 1,Music,Music,GBP,2013,500,2013,101,Failed,2,GB,158,163,809,60
10084188,The Rebirth Consortium,Festivals,Theater,USD,2015,2600,2015,200,Failed,2,US,200,200,2600,40
10089293,The Cherokee PEOPLE'S JOY Parade Returns for Our 3rd Year!,Performance Art,Art,USD,2011,2500,2011,2646,Successful,66,US,2646,2646,2500,33
10089834,"Return to Glory, an independent documentary feature film",Documentary,Film & Video,USD,2011,25000,2011,2662,Failed,18,US,2662,2662,25000,60
10097005,Z-Kour - Survive any way you can....,Shorts,Film & Video,USD,2013,1500,2013,121,Failed,6,US,121,121,1500,14
10100125,"Graymarket Design Bedding: Original Prints, Luxurious Cotton",Product Design,Design,USD,2016,12500,2016,17391,Successful,102,US,17391,17391,12500,30
10106921,Earlids,Shorts,Film & Video,USD,2013,1300,2013,1700,Successful,26,US,1700,1700,1300,34
10109773,Sword 'N' Board - Now coming to Wii U!,Video Games,Games,USD,2013,7500,2013,8586,Successful,188,US,8586,8586,7500,39
10120159,JI EUM: A Rhythm Mobile Game for the Visually Impaired,Mobile Games,Games,USD,2015,1000,2015,1313,Successful,36,US,1313,1313,1000,21
10127972,Drift Plates X1 Bindings,Product Design,Design,USD,2011,3800,2011,150,Failed,3,US,150,150,3800,17
10131266,Battle Tank Defence,Video Games,Games,GBP,2015,10000,2015,60,Failed,4,GB,92,89,14781,30
10137007,Saali & The Ravenhearts,Music,Music,CAD,2014,19000,2014,450,Failed,20,CA,401,385,16264,30
10153096,The Life in Aggro T-Shirt and Hoodie Print Project,Comics,Comics,USD,2012,4000,2011,5566,Successful,68,US,5566,5566,4000,34
10154884,"HALLE WANTS A JILT, FOR THE SECOND TIME",Pop,Music,USD,2012,8000,2012,8792,Successful,98,US,8792,8792,8000,44
10155950,25 The Movie,Film & Video,Film & Video,USD,2013,20000,2013,760,Failed,7,US,760,760,20000,30
10156032,Old Bat,Webseries,Film & Video,AUD,2015,6000,2015,800,Failed,10,AU,618,598,4482,30
10156691,Robyn O'Brien Talk and Lunch!,Events,Food,USD,2015,4500,2015,105,Failed,1,US,105,105,4500,29
10156784,Awesome Little Videos,Webseries,Film & Video,USD,2011,600,2011,30,Failed,2,US,30,30,600,21
10173583,DESTINATION: CONCEPT ARTIST -an audio book,Conceptual Art,Art,USD,2011,1000,2011,401,Failed,10,US,401,401,1000,14
10175303,Lunchbar with cocktailworkshops and tastings,Drinks,Food,EUR,2015,3500,2014,3500,Successful,4,NL,4332,4135,4135,25
10176166,Natural Makes Scents,DIY,Crafts,CAD,2015,5000,2015,34,Failed,3,CA,27,28,4154,60
10178577,"MYTHOS: NECRONOMICON, Bicycle® Playing Cards",Tabletop Games,Games,USD,2012,15000,2012,42661,Successful,1193,US,42661,42661,15000,40
10188328,Fat Granny Gears (Canceled),Product Design,Design,USD,2015,7900,2015,1626,Cancelled,19,US,1626,1626,7900,30
10194072,BETWEEN THE SHADES,Documentary,Film & Video,USD,2015,46000,2015,46375,Successful,194,US,46375,46375,46000,45
10196566,Ashley Has A Message To Share,Web,Journalism,USD,2015,2500,2015,55,Failed,3,US,55,55,2500,30
10201491,Traveling with Scrabble,Tabletop Games,Games,USD,2017,2000,2017,535,Failed,5,US,103,535,2000,32
10205736,HuniePop: A Dating Puzzle RPG,Video Games,Games,USD,2013,20000,2013,53536,Successful,1483,US,53536,53536,20000,30
10206527,Hell in Heaven: The Illusion of a Paradise,Fiction,Publishing,USD,2015,2000,2014,15,Failed,1,US,15,15,2000,45
10210001,Imperial Crusade Armada: A Unique Space Combat Game,Tabletop Games,Games,USD,2011,2000,2011,8016,Successful,217,US,8016,8016,2000,60
